Survey_wave,Location,Survey_date,Weather,Time,Period,Direction,Number_of_private_cycles,Number_of_cycle_hire_bikes,Total_cycles,Year,cycling_id
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0915 - 0930,AM peak (07:00-10:00),Westbound,18,5,23,2014,974
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0930 - 0945,AM peak (07:00-10:00),Westbound,16,5,21,2014,975
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0945 - 1000,AM peak (07:00-10:00),Westbound,9,3,12,2014,976
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1000 - 1015,Inter-peak (10:00-16:00),Westbound,11,2,13,2014,977
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1015 - 1030,Inter-peak (10:00-16:00),Westbound,7,0,7,2014,978
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1030 - 1045,Inter-peak (10:00-16:00),Westbound,7,0,7,2014,979
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1045 - 1100,Inter-peak (10:00-16:00),Westbound,5,0,5,2014,980
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1100 - 1115,Inter-peak (10:00-16:00),Westbound,7,0,7,2014,981
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1115 - 1130,Inter-peak (10:00-16:00),Westbound,9,1,10,2014,982
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1130 - 1145,Inter-peak (10:00-16:00),Westbound,10,2,12,2014,983
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1145 - 1200,Inter-peak (10:00-16:00),Westbound,7,0,7,2014,984
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1200 - 1215,Inter-peak (10:00-16:00),Westbound,10,0,10,2014,985
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1215 - 1230,Inter-peak (10:00-16:00),Westbound,10,0,10,2014,986
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1230 - 1245,Inter-peak (10:00-16:00),Westbound,11,1,12,2014,987
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1245 - 1300,Inter-peak (10:00-16:00),Westbound,17,1,18,2014,988
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1300 - 1315,Inter-peak (10:00-16:00),Westbound,13,4,17,2014,989
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1315 - 1330,Inter-peak (10:00-16:00),Westbound,10,1,11,2014,990
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1330 - 1345,Inter-peak (10:00-16:00),Westbound,14,1,15,2014,991
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1345 - 1400,Inter-peak (10:00-16:00),Westbound,13,3,16,2014,992
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1400 - 1415,Inter-peak (10:00-16:00),Westbound,14,1,15,2014,993
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1415 - 1430,Inter-peak (10:00-16:00),Westbound,12,2,14,2014,994
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1430 - 1445,Inter-peak (10:00-16:00),Westbound,14,2,16,2014,995
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1445 - 1500,Inter-peak (10:00-16:00),Westbound,14,2,16,2014,996
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1500 - 1515,Inter-peak (10:00-16:00),Westbound,15,1,16,2014,997
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1515 - 1530,Inter-peak (10:00-16:00),Westbound,14,3,17,2014,998
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1530 - 1545,Inter-peak (10:00-16:00),Westbound,12,1,13,2014,999
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1545 - 1600,Inter-peak (10:00-16:00),Westbound,13,2,15,2014,1000
